"Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"1 KIND HOME INC","MIAMI","Miami-Dade","12","0","1","$1,500.00","11","0","2","9","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"81 OAKS SENIOR LIVING","SARASOTA","Sarasota","125","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Memory Care"
"A & C GOD BLESS ASSISTED LIVING FACILITY","PALM BAY","Brevard","5","0","0","$0.00","5","0","0","3","2","0","1","None","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"A & C LIVING FAITH HOME LLC","PALM BAY","Brevard","5","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"A & G MARVELOUS ALF, LLC","NORTH LAUDERDALE","Broward","6","0","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","1","Other"
"A & J ALF OF FLORIDA INC, II","PALM BAY","Brevard","6","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","6","Arts and Crafts|Dancing|Games/Cards|Music Programs|Shopping|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"A & L HEALTH CARE CORP NO. 2","CORAL SPRINGS","Broward","6","0","0","$0.00","1","0","0","1","0","0","1","Direct 24hr","4","Dancing|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"A & L HEALTHCARE CORP.","CORAL SPRINGS","Broward","6","0","0","$0.00","1","0","0","1","0","0","1","Direct Part-Time","5","Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"A & M @ EBER SPRINGS","MELBOURNE","Brevard","6","0","0","$0.00","2","0","0","2","0","0","NR","NR","NR","NR","NR","NR"
"A & M ASSISTED LIVING FACILITY II","WEST MELBOURNE","Brevard","6","0","0","$0.00","3","0","0","3","0","0","1","Direct 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"A BANYAN RESIDENCE AT WILDWOOD LLC","OXFORD","Sumter","100","7","1","$5,000.00","3","0","1","2","0","0","1","None","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"A BELLA VITA PLACE ASSISTED LIVING, LLC","DELRAY BEACH","Palm Beach","10","0","1","$500.00","6","0","0","3","2","1","NR","NR","5","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"A BETHEL LOVING CARE OF THE TREASURE COAST INC","PORT SAINT LUCIE","St. Lucie","6","0","0","$0.00","6","0","0","4","2","0","1","3rd Party Part-Time","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
